四川成都电信,#genre#
4K纪实专区,http://192.168.3.1:8188/rtp/239.94.1.69:5140?FCC=182.139.234.40:8027
4K少儿专区,http://192.168.3.1:8188/rtp/239.94.1.70:5140?FCC=182.139.234.40:8027
CGTN西班牙语,http://192.168.3.1:8188/rtp/239.94.1.65:5140?FCC=182.139.234.40:8027
CGTN法语,http://192.168.3.1:8188/rtp/239.94.1.66:5140?FCC=182.139.234.40:8027
爱浪漫专区,http://192.168.3.1:8188/rtp/239.94.1.128:5140?FCC=182.139.234.40:8027
爱喜剧专区,http://192.168.3.1:8188/rtp/239.94.1.129:5140?FCC=182.139.234.40:8027
爱奇谈专区,http://192.168.3.1:8188/rtp/239.94.1.130:5140?FCC=182.139.234.40:8027
爱科幻专区,http://192.168.3.1:8188/rtp/239.94.1.131:5140?FCC=182.139.234.40:8027
爱院线专区,http://192.168.3.1:8188/rtp/239.94.1.132:5140?FCC=182.139.234.40:8027
都市剧场,http://192.168.3.1:8188/rtp/239.94.1.133:5140?FCC=182.139.234.40:8027
爱谍战专区,http://192.168.3.1:8188/rtp/239.94.1.134:5140?FCC=182.139.234.40:8027
爱历史专区,http://192.168.3.1:8188/rtp/239.94.1.135:5140?FCC=182.139.234.40:8027
爱悬疑专区,http://192.168.3.1:8188/rtp/239.94.1.136:5140?FCC=182.139.234.40:8027
爱旅行专区,http://192.168.3.1:8188/rtp/239.94.1.137:5140?FCC=182.139.234.40:8027
少儿天地专区,http://192.168.3.1:8188/rtp/239.94.1.138:5140?FCC=182.139.234.40:8027
爱幼教专区,http://192.168.3.1:8188/rtp/239.94.1.139:5140?FCC=182.139.234.40:8027
爱玩具专区,http://192.168.3.1:8188/rtp/239.94.1.140:5140?FCC=182.139.234.40:8027
爱动漫专区,http://192.168.3.1:8188/rtp/239.94.1.141:5140?FCC=182.139.234.40:8027
求索频道高清,http://192.168.3.1:8188/rtp/239.94.1.142:5140?FCC=182.139.234.40:8027
爱体育专区,http://192.168.3.1:8188/rtp/239.94.1.143:5140?FCC=182.139.234.40:8027
爱赛车专区,http://192.168.3.1:8188/rtp/239.94.1.144:5140?FCC=182.139.234.40:8027
爱宠宠物专区,http://192.168.3.1:8188/rtp/239.94.1.145:5140?FCC=182.139.234.40:8027
生活时尚,http://192.168.3.1:8188/rtp/239.94.1.146:5140?FCC=182.139.234.40:8027
环球旅游,http://192.168.3.1:8188/rtp/239.94.1.147:5140?FCC=182.139.234.40:8027
来钓鱼吧专区,http://192.168.3.1:8188/rtp/239.94.1.148:5140?FCC=182.139.234.40:8027
麻辣体育专区,http://192.168.3.1:8188/rtp/239.94.1.149:5140?FCC=182.139.234.40:8027
绚影4K专区,http://192.168.3.1:8188/rtp/239.94.1.150:5140?FCC=182.139.234.40:8027
天元围棋,http://192.168.3.1:8188/rtp/239.94.1.152:5140?FCC=182.139.234.40:8027
快乐垂钓,http://192.168.3.1:8188/rtp/239.94.1.153:5140?FCC=182.139.234.40:8027
茶频道,http://192.168.3.1:8188/rtp/239.94.1.154:5140?FCC=182.139.234.40:8027
乐龄学堂专区,http://192.168.3.1:8188/rtp/239.94.1.155:5140?FCC=182.139.234.40:8027
亲子趣学4k专区,http://192.168.3.1:8188/rtp/239.94.1.156:5140?FCC=182.139.234.40:8027
4K乐享超清专区,http://192.168.3.1:8188/rtp/239.94.1.162:5140?FCC=182.139.234.40:8027
书画频道,http://192.168.3.1:8188/rtp/239.94.1.163:5140?FCC=182.139.234.40:8027
乐游,http://192.168.3.1:8188/rtp/239.94.1.164:5140?FCC=182.139.234.40:8027
金色学堂,http://192.168.3.1:8188/rtp/239.94.1.165:5140?FCC=182.139.234.40:8027
法治天地,http://192.168.3.1:8188/rtp/239.94.1.166:5140?FCC=182.139.234.40:8027
中国天气,http://192.168.3.1:8188/rtp/239.94.1.167:5140?FCC=182.139.234.40:8027
四海钓鱼,http://192.168.3.1:8188/rtp/239.94.1.168:5140?FCC=182.139.234.40:8027
动漫秀场,http://192.168.3.1:8188/rtp/239.94.1.171:5140?FCC=182.139.234.40:8027
精彩影视,http://192.168.3.1:8188/rtp/239.94.1.172:5140?FCC=182.139.234.40:8027
CHC家庭影院,http://192.168.3.1:8188/rtp/239.94.1.173:5140?FCC=182.139.234.40:8027
CHC影迷电影,http://192.168.3.1:8188/rtp/239.94.1.174:5140?FCC=182.139.234.40:8027
CHC动作电影,http://192.168.3.1:8188/rtp/239.94.1.175:5140?FCC=182.139.234.40:8027
欢笑剧场4K,http://192.168.3.1:8188/rtp/239.94.1.176:5140?FCC=182.139.234.40:8027
北京卫视4K,http://192.168.3.1:8188/rtp/239.94.0.111:5140?FCC=182.139.234.40:8027
i成都,http://192.168.3.1:8188/rtp/239.94.2.1:5140?FCC=182.139.234.40:8027
爱乐山,http://192.168.3.1:8188/rtp/239.94.2.2:5140?FCC=182.139.234.40:8027
中国体育1,http://192.168.3.1:8188/rtp/239.94.2.7:5140?FCC=182.139.234.40:8027
中国体育2,http://192.168.3.1:8188/rtp/239.94.2.8:5140?FCC=182.139.234.40:8027
中国体育3,http://192.168.3.1:8188/rtp/239.94.2.9:5140?FCC=182.139.234.40:8027
精彩推荐专区,http://192.168.3.1:8188/rtp/239.94.2.10:5140?FCC=182.139.234.40:8027
直播室1,http://192.168.3.1:8188/rtp/239.94.2.11:5140?FCC=182.139.234.40:8027
直播室2,http://192.168.3.1:8188/rtp/239.94.2.12:5140?FCC=182.139.234.40:8027
直播室3,http://192.168.3.1:8188/rtp/239.94.2.13:5140?FCC=182.139.234.40:8027
直播室4,http://192.168.3.1:8188/rtp/239.94.2.14:5140?FCC=182.139.234.40:8027
直播室5,http://192.168.3.1:8188/rtp/239.94.2.15:5140?FCC=182.139.234.40:8027
直播室6,http://192.168.3.1:8188/rtp/239.94.2.16:5140?FCC=182.139.234.40:8027
